plant_species;match_type;multiple_matches;match_similarity;match_edit_distance;wcvp_id;wcvp_name;wcvp_authors;wcvp_rank;wcvp_status;wcvp_homotypic;wcvp_ipni_id;wcvp_accepted_id
Gentiana punctata;Exact (without author);TRUE;1;0;2821301;Gentiana punctata;L.;Species;Accepted;NA;368760-1;2821301
Gentiana punctata;Exact (without author);TRUE;1;0;2821302;Gentiana punctata;Jacq.;Species;Illegitimate;NA;368763-1;2821117
Gentiana punctata;Exact (without author);TRUE;1;0;2821303;Gentiana punctata;Vill.;Species;Illegitimate;TRUE;368762-1;2820111
Jacobaea incana susbsp. carniolica;Fuzzy (edit distance);FALSE;0.971;1;3082405;Jacobaea incana subsp. carniolica;(Willd.) B.Nord. & Greuter;Subspecies;Synonym;TRUE;77075575-1;3082407
Atriplex rosea;Exact (without author);TRUE;1;0;2665739;Atriplex rosea;L.;Species;Accepted;NA;164113-1;2665739
Atriplex rosea;Exact (without author);TRUE;1;0;2665740;Atriplex rosea;Bab.;Species;Illegitimate;NA;164114-1;2665193
Dysphania botrys;Exact (without author);FALSE;1;0;2780227;Dysphania botrys;(L.) Mosyakin & Clemants;Species;Accepted;NA;1076147-2;2780227
Bassia hyssopifolia;Exact (without author);FALSE;1;0;2670803;Bassia hyssopifolia;(Pall.) Kuntze;Species;Accepted;NA;29802-2;2670803
Laurus;Exact (without author);FALSE;1;0;2349371;Laurus;L.;Genus;Accepted;NA;328263-2;2349371
Armeria;Exact (without author);TRUE;1;0;2652182;Armeria;L. ex Kuntze;Genus;Illegitimate;NA;328377-2;2567174
Armeria;Exact (without author);TRUE;1;0;2652181;Armeria;(DC.) Willd.;Genus;Accepted;NA;30024238-2;2652181
Crambe;Exact (without author);FALSE;1;0;2741235;Crambe;L.;Genus;Accepted;NA;12477-1;2741235
Crocus;Exact (without author);FALSE;1;0;327117;Crocus;L.;Genus;Accepted;NA;20293-1;327117
Gardenia;Exact (without author);TRUE;1;0;3017220;Gardenia;Colden;Genus;Synonym;NA;30397891-2;2728262
Gardenia;Exact (without author);TRUE;1;0;88088;Gardenia;J.Ellis;Genus;Accepted;NA;331627-2;88088
Peperomia;Exact (without author);FALSE;1;0;2562753;Peperomia;Ruiz & Pav.;Genus;Accepted;NA;329746-2;2562753
Pistia;Exact (without author);FALSE;1;0;156655;Pistia;L.;Genus;Accepted;NA;2869-1;156655
Polygonatum hirtum;Exact (without author);FALSE;1;0;284061;Polygonatum hirtum;(Bosc ex Poir.) Pursh;Species;Synonym;NA;1022990-2;283990
Rhododendron luteum;Exact (without author);TRUE;1;0;2418058;Rhododendron luteum;Sweet;Species;Accepted;NA;332817-1;2418058
