"taxon_name","n","native_to_europe","wcvp_accepted_id.x","family","genus","LifeCycle","Woodiness","woodiness","lifecycle","tiles","area_km2","wcvp_status","wcvp_accepted_id.y","taxon_name.y","min_fr","rel_status","mean_longitude","mean_latitude","distance_to_europe_center"
"Alcea digitata",1,FALSE,2627641,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",1,2518.0882508977,"Accepted",2627641,"Alcea digitata",NA,"Genus in Europe",41.1063794796054,34.5236637894882,3327.97269067545
"Alcea dissecta",2,FALSE,2627642,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",41.1063794796054,34.5236637894882,3327.97269067545
"Alcea excubita",1,FALSE,2627645,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",44.8302533151529,35.8943592319219,3358.94359237117
"Alcea flavovirens",1,FALSE,2627649,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",45.0721531383705,37.6106933937788,3207.99587331676
"Alcea hohenackeri",2,FALSE,2627661,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",42.950527440899,34.9722573550368,3363.11378505884
"Alcea nudiflora",2,FALSE,2909953,"Malvaceae","Alcea",NA,"Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",71.2407869451,40.9314018061356,4340.5398216355
"Alcea rosea",57,FALSE,2627710,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",1851,3593357.10748788,"Accepted",2627710,"Alcea rosea",1804,"Genus in Europe",35.441648478726,39.0283978298971,2653.64917378203
"Alcea rufescens",1,FALSE,2627713,"Malvaceae","Alcea",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",40.3250094779991,33.4879958930477,3398.70023101859
"Alcea striata",3,FALSE,2627724,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",37.698478048553,31.84689911983,3463.61902079306
"Alcea tabrisiana",1,FALSE,2627728,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",45.0721531383705,37.6106933937788,3207.99587331676
"Alchemilla barbatiflora",1,FALSE,2938910,"Rosaceae","Alchemilla","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",40.4988006317659,40.0358797736949,2768.53467321346
