plant_species;family;number_herb;number_herb_leaf;AOO;mean_N_per_LDM;EIV-N;EIV-T;EIV-L;plant_height;Woodiness
Nepeta nuda;Lamiaceae;21;12;13.976666666666668;NA;3.01135012034045;4.59319346492698;6.88674444742771;0.6839903786706788;Non-Woody
Neslia paniculata;Brassicaceae;14;8;733.5166666666665;NA;4.74865302918205;4.80102387565837;6.42640270587212;0.4208378432695811;Non-Woody
Nigella arvensis;Ranunculaceae;11;6;110.03666666666668;NA;4.06061584290109;5.8371773087427;8.19777966146904;0.2631051258952258;Non-Woody
Noccaea caerulescens;Brassicaceae;7;6;616.9266666666666;NA;3.21533349837825;3.26339401098828;7.6671959050638;0.09654893846056296;NA
Noccaea montana;Brassicaceae;5;3;190.89333333333337;27.906904986348028;2.58486773681028;3.68535246517221;5.69663553488942;0.05046349723783867;NA
Nuphar lutea;Nymphaeaceae;10;9;5002.026666666668;44.400000000000006;5.87583686940595;4.33911853280776;7.6416280094384;0.23643540225079396;Non-Woody
Nuphar pumila;Nymphaeaceae;1;1;25.22;NA;3.20564341384048;3.07257171771006;7.64911109608762;0.08662391053409028;Non-Woody
Nymphaea alba;Nymphaeaceae;10;9;4069.103333333334;27.999999999999996;5.81231029475457;4.85918492018893;7.81305656614064;0.223606797749979;Non-Woody
Nymphoides peltata;Menyanthaceae;5;5;357.49333333333334;NA;6.98781544391742;5.06455836371863;8.05272258326243;0.18314207507423536;Non-Woody
Odontites luteus;Orobanchaceae;16;8;228.32333333333335;NA;2.03482680379587;5.41712435172413;7.49913119763012;0.31072325059538586;NA
Odontites litoralis;Orobanchaceae;3;3;NA;NA;4.37844337535535;4.33382945619439;7.8331404244644;NA;NA
Odontites vernus;Orobanchaceae;8;2;4693.213333333334;NA;5.28362875444672;4.4653707583275;6.53378295461366;NA;NA
Odontites vulgaris;Orobanchaceae;17;8;NA;NA;5.58310076753801;4.36604418604096;6.70224795211853;0.4591198115568226;NA
Oenanthe aquatica;Apiaceae;21;15;3591.8933333333334;NA;6.38372060614745;4.38901682711226;6.62116157683949;1.3416407864998738;Non-Woody
Oenanthe crocata;Apiaceae;11;10;NA;NA;5.10670595300949;5.56308785012785;7.51734100734298;1.5;Non-Woody
Oenanthe fistulosa;Apiaceae;6;4;1548.2233333333334;NA;5.37524094468061;5.49235520479467;7.09427301293757;0.7483314773547882;Non-Woody
Oenanthe lachenalii;Apiaceae;2;2;244.91;NA;5.68503089204732;5.40743583996789;8.1246350881737;0.75;Non-Woody
Oenanthe peucedanifolia;Apiaceae;1;1;90.1;NA;3.6946804286844;5.44202142870451;7.07754770854828;0.4542801482080349;Non-Woody
Oenanthe silaifolia;Apiaceae;3;3;NA;NA;4.96200679650943;5.00259231477076;7.6812059138407;0.5061361172145196;Non-Woody
Onobrychis arenaria;Fabaceae;28;16;NA;28.1;2.17657802853897;5.12277001750214;7.28354972070415;0.14142135623730953;Non-Woody
Onobrychis montana;Fabaceae;22;19;NA;26.453444715789697;3.41381486310289;2.08840637673815;8.69198965000369;0.168395146565543;Non-Woody
