"taxon_name","n","native_to_europe","wcvp_accepted_id","family","genus"
"Aegilops biuncialis",1,TRUE,387581,"Poaceae","Aegilops"
"Aegilops caudata",2,TRUE,387592,"Poaceae","Aegilops"
"Aegilops columnaris",2,TRUE,387604,"Poaceae","Aegilops"
"Aegilops crassa",6,FALSE,387623,"Poaceae","Aegilops"
"Aegilops cylindrica",19,TRUE,387641,"Poaceae","Aegilops"
"Aegilops geniculata",5,TRUE,387679,"Poaceae","Aegilops"
"Aegilops kotschyi",3,FALSE,387702,"Poaceae","Aegilops"
"Aegilops longissima",1,FALSE,387443,"Poaceae","Aegilops"
"Aegilops neglecta",6,TRUE,387486,"Poaceae","Aegilops"
"Aegilops peregrina",4,TRUE,387536,"Poaceae","Aegilops"
"Aegilops speltoides",2,TRUE,387809,"Poaceae","Aegilops"
"Aegilops tauschii",4,TRUE,387847,"Poaceae","Aegilops"
"Aegilops triuncialis",12,TRUE,387878,"Poaceae","Aegilops"
"Aegilops umbellulata",2,TRUE,387930,"Poaceae","Aegilops"
"Aegilops ventricosa",4,TRUE,387953,"Poaceae","Aegilops"
"Aegonychon purpurocaeruleum",24,TRUE,2623481,"Boraginaceae","Aegonychon"
"Aegopodium podagraria",76,TRUE,2623499,"Apiaceae","Aegopodium"
"Aegopodium tribracteolatum",1,FALSE,2623506,"Apiaceae","Aegopodium"
"Aeluropus lagopoides",2,TRUE,388021,"Poaceae","Aeluropus"
"Aeluropus littoralis",10,TRUE,388026,"Poaceae","Aeluropus"
"Aeonium arboreum",5,FALSE,2623539,"Crassulaceae","Aeonium"
"Aeonium arboreum subsp. arboreum",3,FALSE,3261703,"Crassulaceae","Aeonium"
"Aeonium arboreum subsp. holochrysum",4,FALSE,2895446,"Crassulaceae","Aeonium"
"Aeonium balsamiferum",1,FALSE,2623543,"Crassulaceae","Aeonium"
"Aeonium canariense subsp. christii",1,FALSE,2895449,"Crassulaceae","Aeonium"
"Aeonium ciliatum",1,FALSE,2623562,"Crassulaceae","Aeonium"
"Aeonium cuneatum",1,FALSE,2623568,"Crassulaceae","Aeonium"
"Aeonium decorum",1,FALSE,2623570,"Crassulaceae","Aeonium"
"Aeonium glandulosum",2,FALSE,2623579,"Crassulaceae","Aeonium"
"Aeonium glutinosum",2,FALSE,2623580,"Crassulaceae","Aeonium"
"Aeonium haworthii",1,FALSE,2623586,"Crassulaceae","Aeonium"
"Aeonium hierrense",1,FALSE,2623587,"Crassulaceae","Aeonium"
"Aeonium percarneum",2,FALSE,2623619,"Crassulaceae","Aeonium"
"Aeonium spathulatum",2,FALSE,2623634,"Crassulaceae","Aeonium"
"Aeonium tabulaeforme",3,FALSE,2623641,"Crassulaceae","Aeonium"
"Aeonium undulatum",2,FALSE,2623646,"Crassulaceae","Aeonium"
"Aeonium urbicum",2,FALSE,2623647,"Crassulaceae","Aeonium"
"Aesculus chinensis",1,FALSE,2624488,"Sapindaceae","Aesculus"
"Aesculus flava",4,FALSE,2624500,"Sapindaceae","Aesculus"
"Aesculus glabra",5,FALSE,2624506,"Sapindaceae","Aesculus"
"Aesculus hippocastanum",83,TRUE,2624517,"Sapindaceae","Aesculus"
"Aesculus indica",3,FALSE,2624522,"Sapindaceae","Aesculus"
"Aesculus parviflora",3,FALSE,2624566,"Sapindaceae","Aesculus"
"Aesculus pavia",8,FALSE,2624568,"Sapindaceae","Aesculus"
"Aesculus turbinata",2,FALSE,2624593,"Sapindaceae","Aesculus"
"Aesculus × bushii",1,FALSE,2624480,"Sapindaceae","Aesculus"
"Aesculus × hybrida",1,FALSE,2624521,"Sapindaceae","Aesculus"
"Aesculus × neglecta",4,FALSE,2624546,"Sapindaceae","Aesculus"
