"species","usageKey"
"Allium lusitanicum",2855705
"Allium moly",2855825
"Allium moschatum",2856450
"Allium narcissiflorum",2856400
"Allium neapolitanum",2856348
"Allium nigrum",2855823
"Allium nutans",2857498
"Allium obliquum",2857444
"Allium oleraceum",2857071
"Allium orientale",2856517
"Allium pallens",2855839
"Allium paniculatum",2856288
"Allium phanerantherum",2855913
"Allium polyanthum",2857398
"Allium pruinatum",2856703
"Allium pyrenaicum",2857748
"Allium roseum",2855893
"Allium rothii",2856081
"Allium rotundum",2855963
"Allium sabulosum",2857279
"Allium sardoum",2857930
"Allium sativum",2856681
"Allium saxatile",2855937
"Allium schoenoprasum",2855860
"Allium scorodoprasum",9177060
"Allium senescens",2855719
"Allium sphaerocephalon",2857616
"Allium stamineum",2857065
"Allium strictum",2856145
"Allium subhirsutum",2855683
"Allium subvillosum",2857317
"Allium trifoliatum",2856997
"Allium triquetrum",2856457
"Allium ursinum",2857601
"Allium victorialis",2857132
"Allium vineale",7792960
"Alnus alnobetula subsp. alnobetula",8175012
"Alnus alnobetula subsp. fruticosa",8956987
"Alnus alnobetula subsp. suaveolens",8956987
"Alnus cordata",2876607
"Alnus glutinosa",2876213
"Alnus hirsuta",2876105
"Alnus incana",9148577
"Alnus incana subsp. rugosa",2876469
"Alnus incana subsp. tenuifolia",2876460
"Alnus japonica",2876196
"Alnus maritima",2876595
"Alnus orientalis",2876552
"Alnus pendula",2876518
"Alnus rubra",2876176
"Alnus subcordata",2876563
"Alnus × pubescens",2876571
"Aloe arborescens",2777537
"Aloe ferox",2777789
"Aloe glauca",2777824
"Aloe maculata",2777430
"Aloe vera",2777724
"Aloiampelos ciliaris",9527904
"Alonsoa acutifolia",7331572
"Alopecurus aequalis",5290083
"Alopecurus arundinaceus",5290087
"Alopecurus bulbosus",5672393
"Alopecurus geniculatus",5290090
"Alopecurus gerardi",4107988
"Alopecurus lanatus",5672201
"Alopecurus myosuroides",5290097
"Alopecurus pratensis",5290081
"Alopecurus rendlei",5290073
"Alopecurus utriculatus",7990979
"Aloysia citrodora",5667503
"Alpagrostis alpina",10861153
"Alpagrostis setacea",10762826
"Alpinia zerumbet",5301979
"Althaea armeniaca",3933860
"Althaea cannabina",3152519
"Althaea officinalis",3152520
"Alyogyne cuneiformis",3941003
"Alyssoides utriculata",3050529
"Alyssum alyssoides",3044855
"Alyssum baumgartnerianum",3044748
"Alyssum dasycarpum",8215381
"Alyssum desertorum",3044743
"Alyssum gmelinii",3044931
"Alyssum granatense",3045178
"Alyssum hirsutum",3045006
"Alyssum lepidotum",3045154
"Alyssum minutum",3044840
"Alyssum montanum",3044912
"Alyssum reiseri",3044933
"Alyssum repens",3044813
"Alyssum simplex",3045042
"Alyssum strigosum",3045193
"Alyssum szovitsianum",3044810
"Alyssum trichocarpum",3045030
"Alyssum umbellatum",3045106
"Amaranthus albus",7905507
"Amaranthus blitoides",5384395
"Amaranthus blitum",8911082
"Amaranthus blitum subsp. emarginatus",8911082
"Amaranthus blitum subsp. oleraceus",8911082
"Amaranthus caudatus",6109611
"Amaranthus cruentus",5384390
"Amaranthus deflexus",5384396
"Amaranthus graecizans",5384373
"Amaranthus hybridus",5384364
"Amaranthus hybridus subsp. hybridus",5384364
"Amaranthus powellii",5384359
"Amaranthus retroflexus",6109534
"Amaranthus spinosus",5384401
"Amaranthus tricolor",5384397
"Amaranthus viridis",5384334
"Amaryllis belladonna",5325855
"Amberboa moschata",3122190
"Ambrosia artemisiifolia",8002952
"Ambrosia confertiflora",3110654
"Ambrosia maritima",7499720
"Ambrosia psilostachya",3110686
"Ambrosia trifida",3110588
"Ambrosina bassii",2870348
"Amelanchier alnifolia",8168485
"Amelanchier asiatica",3023822
"Amelanchier laevis",3023832
"Amelanchier ovalis",3023878
"Amelanchier parviflora",3023829
"Amelanchier stolonifera",3023901
"Amelanchier × lamarckii",3024109
"Ammi majus",3034182
"Ammobium alatum",3133446
"Ammochloa palaestina",4106283
"Ammoides pusilla",6026523
"Amorpha fruticosa",5357407
"Amorpha glabra",7639404
"Ampelodesmos mauritanicus",4925448
"Ampelopsis cordata",3039183
"Ampelopsis glandulosa",7293727
"Ampelopsis orientalis",4052371
"Amsinckia menziesii",2925870
"Amsinckia menziesii var. menziesii",6395044
"Anabasis aphylla",5568963
"Anabasis articulata",5568629
"Anabasis prostrata",8247026
"Anacamptis coriophora",2808461
"Anacamptis laxiflora",2808426
"Anacamptis morio",2808565
"Anacamptis palustris",2808399
"Anacamptis pyramidalis",2808330
"Anacamptis sancta",2808528
"Anacyclus clavatus",3148589
"Anacyclus radiatus",3148560
"Anacyclus valentinus",3148548
"Anagyris foetida",2946427
"Ananas comosus",5288819
"Anaphalis triplinervis",3136929
"Anarrhinum bellidifolium",8114833
"Anastatica hierochuntica",3041976
"Anchusa aegyptiaca",2498
"Anchusa arvensis",7831178
"Anchusa azurea",5341198
"Anchusa calcarea",5662294
"Anchusa capensis",5341200
"Anchusa cespitosa",5662282
"Anchusa cretica",5662272
"Anchusa gmelinii",7582887
"Anchusa hybrida",5662213
"Anchusa leptophylla",8353055
"Anchusa leptophylla subsp. incana",5662182
"Anchusa ochroleuca",5662089
"Anchusa officinalis",5341201
"Anchusa ovata",5662067
"Anchusa procera",5341202
"Anchusa strigosa",8192155
"Anchusa thessala",5661914
"Anchusa undulata",7295330
"Anchusa undulata subsp. granatensis",7295330
"Andrachne telephioides",3079631
"Andromeda polifolia",5333413
"Andropogon distachyos",4150293
"Andropogon gayanus",2706112
"Androsace alpina",4008062
"Androsace chamaejasme",7859285
"Androsace elongata",3169325
"Androsace helvetica",4006455
"Androsace lactea",8001549
"Androsace laggeri",4006127
"Androsace maxima",3169329
"Androsace obtusifolia",4005658
"Androsace pubescens",4005196
"Androsace septentrionalis",3169326
"Androsace villosa",7903019
"Androsace vitaliana",7290830
"Andryala arenaria",3105518
"Andryala glandulosa",3105483
"Andryala integrifolia",3105508
"Andryala pinnatifida",3105489
"Andryala pinnatifida subsp. ducellieri",4246299
"Andryala pinnatifida subsp. mogadorensis",4246280
"Andryala ragusina",3105533
"Andryala rothia",3105486
"Anemonastrum dichotomum",9586291
"Anemonastrum narcissiflorum",8870733
"Anemone coronaria",3033261
"Anemone hortensis",3925918
"Anemone virginiana",3033255
"Anemonoides altaica",3924268
"Anemonoides apennina",3922062
"Anemonoides baldensis",3922052
"Anemonoides blanda",3922048
"Anemonoides nemorosa",3921842
"Anemonoides ranunculoides",6374597
"Anemonoides reflexa",3921729
"Anemonoides sylvestris",3923861
"Anemonoides trifolia",7277129
"Anethum graveolens",3034646
"Angelica archangelica",5371808
"Angelica archangelica subsp. litoralis",5371808
"Angelica atropurpurea",5371822
"Angelica decurrens",5537807
"Angelica major",5537627
"Angelica nitida",5537596
"Angelica pyrenaea",5537542
"Angelica razulii",8156916
"Angelica sylvestris",5371818
"Angelica ursina",5540667
"Anisodontea fruticosa",3940853
"Anisodus stramoniifolius",3803433
"Annona cherimola",5407147
"Annona muricata",5407273
"Anoda cristata",3152493
"Antennaria dioica",5385604
"Anthemis arvensis",3102781
"Anthemis bornmuelleri",3122729
"Anthemis chia",3122494
"Anthemis cotula",8035698
"Anthemis cretica",7839493
"Anthemis cretica subsp. carpatica",7839493
"Anthemis cretica subsp. cinerea",4241740
"Anthemis kotschyana",3122572
"Anthemis macedonica subsp. stribrnyi",4241058
"Anthemis macedonica subsp. thracica",4241053
"Anthemis maritima",3102820
"Anthemis pedunculata",3122566
"Anthemis pseudocotula",3122622
"Anthemis rascheyana",3122693
"Anthemis retusa",3102784
"Anthemis rigida",3102765
"Anthemis ruthenica",3102823
"Anthemis secundiramea",3122531
"Anthericum liliago",2773902
"Anthericum ramosum",2773942
"Anthoxanthum aristatum",2705972
"Anthoxanthum australe",4134120
"Anthoxanthum nipponicum",4133640
"Anthoxanthum nitens",2703346
"Anthoxanthum odoratum",2705975
"Anthoxanthum ovatum",4133491
"Anthoxanthum repens",4133331
"Anthriscus caucalis",5371743
"Anthriscus cerefolium",5371746
"Anthriscus lamprocarpa",5540223
"Anthriscus nemorosa",6027243
"Anthriscus nitida",8134008
"Anthriscus sylvestris",5371742
"Anthriscus sylvestris subsp. mollis",5371742
"Anthriscus sylvestris subsp. sylvestris",5371742
"Anthriscus tenerrima",5540099
"Anthurium andraeanum",2872695
"Anthyllis circinnata",5627536
"Anthyllis cytisoides",5352466
"Anthyllis hamosa",5352336
"Anthyllis hermanniae",5352341
"Anthyllis lotoides",5352335
"Anthyllis montana",5352354
"Anthyllis polycephala",5352327
"Anthyllis terniflora",5352344
"Anthyllis vulneraria",5352367
"Anthyllis vulneraria subsp. alpestris",5352367
"Anthyllis vulneraria subsp. arundana",5352367
"Anthyllis vulneraria subsp. forondae",5352431
"Anthyllis vulneraria subsp. iberica",5352367
"Anthyllis vulneraria subsp. lapponica",5352367
"Anthyllis vulneraria subsp. maritima",5352367
"Anthyllis vulneraria subsp. matris-filiae",5352437
"Anthyllis vulneraria subsp. maura",5352367
"Anthyllis vulneraria subsp. polyphylla",5352367
"Antigonon leptopus",2889355
"Antirrhinum barrelieri",7333268
"Antirrhinum graniticum",7333212
"Antirrhinum hispanicum",7333199
"Antirrhinum latifolium",8363443
"Antirrhinum majus",3172001
"Antirrhinum meonanthum",7333142
"Antirrhinum molle",7333137
"Antirrhinum sempervirens",7333064
"Antirrhinum siculum",7740323
"Apera interrupta",5289643
"Apera spica-venti",5289642
"Apium australe",6027131
"Apium graveolens",5371879
"Apium prostratum",5371881
"Apocissus antarctica",7130688
"Apocynum venetum",6701
"Apocynum venetum subsp. sarmatiense",6701
"Aposeris foetida",3094355
"Apteranthes burchardii",7312525
"Apteranthes europaea",7312509
"Aquilegia alpina",3921499
"Aquilegia amaliae",3921492
"Aquilegia atrata",3921447
"Aquilegia aurea",3921394
"Aquilegia buergeriana",7276657
"Aquilegia canadensis",3033197
"Aquilegia chrysantha",3033196
"Aquilegia coerulea var. coerulea",7226684
"Aquilegia dichroa",3931367
"Aquilegia ecalcarata",7278297
"Aquilegia einseleana",3931260
"Aquilegia flabellata",3931157
"Aquilegia formosa",3033169
"Aquilegia fragrans",7278235
"Aquilegia glandulosa",3930815
"Aquilegia kitaibelii",3930521
"Aquilegia lactiflora",3930494
"Aquilegia longissima",3033189
"Aquilegia nigricans",3930143
"Aquilegia olympica",3930093
"Aquilegia ottonis",7278109
"Aquilegia oxysepala",3930047
"Aquilegia pyrenaica",7527324
"Aquilegia sibirica",3929732
"Aquilegia skinneri",3929701
"Aquilegia transsilvanica",3929546
"Aquilegia viridiflora",7277995
"Aquilegia viscosa",7844022
"Aquilegia vulgaris",3033191
"Arabidopsis arenicola",3052501
"Arabidopsis arenosa",3052509
"Arabidopsis arenosa subsp. borbasii",3052519
"Arabidopsis cebennensis",3052535
"Arabidopsis halleri",3052450
"Arabidopsis lyrata subsp. petraea",3052478
"Arabidopsis suecica",3052544
"Arabidopsis thaliana",3052436
"Arabis alpina",5375020
"Arabis aubrietioides",5375122
"Arabis auriculata",5375105
"Arabis caerulea",5374909
"Arabis caucasica",5374922
"Arabis ciliata",5374982
"Arabis collina",5374998
"Arabis hirsuta",9202524
"Arabis mollis subsp. graellsiiformis",11110045
"Arabis nordmanniana",5375137
"Arabis nova",5374841
"Arabis planisiliqua",5374933
"Arabis procurrens",5375012
"Arabis pumila",5375071
"Arabis rosea",5375005
"Arabis sagittata",5374838
"Arabis serpillifolia",5374894
"Arabis soyeri",5374901
"Arabis soyeri subsp. subcoriacea",5374902
"Arabis stelleri",5374951
"Arabis stellulata",5374972
"Arachis hypogaea",5353770
"Aralia chinensis",3036940
"Aralia elata",3036892
"Araucaria columnaris",2684921
"Araucaria heterophylla",2684969
"Araujia sericifera",3170442
"Arbutus andrachne",4170901
"Arbutus canariensis",4170826
"Arbutus unedo",2882803
"Arbutus × andrachnoides",4170894
"Archontophoenix alexandrae",2732609
